id,id_entrepot,datetime,capteur1,capteur2,capteur3
TMP-ENT010-00001,ENT010,2024-01-01 00:00:00,7.65,7.21,7.27
TMP-ENT010-00002,ENT010,2024-01-01 01:00:00,7.36,7.26,6.71
TMP-ENT010-00003,ENT010,2024-01-01 02:00:00,7.2,7.2,6.53
TMP-ENT010-00004,ENT010,2024-01-01 03:00:00,6.84,7.42,6.95
TMP-ENT010-00005,ENT010,2024-01-01 04:00:00,6.75,6.36,7.0
TMP-ENT010-00006,ENT010,2024-01-01 05:00:00,10.09,10.62,10.01
TMP-ENT010-00007,ENT010,2024-01-01 06:00:00,10.61,11.3,10.85
TMP-ENT010-00008,ENT010,2024-01-01 07:00:00,12.18,12.32,12.04
TMP-ENT010-00009,ENT010,2024-01-01 08:00:00,12.88,12.7,12.54
TMP-ENT010-00010,ENT010,2024-01-01 09:00:00,14.03,14.21,14.95
TMP-ENT010-00011,ENT010,2024-01-01 10:00:00,14.0,14.02,14.19
TMP-ENT010-00012,ENT010,2024-01-01 11:00:00,15.0,14.81,14.47
TMP-ENT010-00013,ENT010,2024-01-01 12:00:00,15.28,15.21,14.64
TMP-ENT010-00014,ENT010,2024-01-01 13:00:00,14.02,14.33,14.22
TMP-ENT010-00015,ENT010,2024-01-01 14:00:00,12.2,13.19,12.72
TMP-ENT010-00016,ENT010,2024-01-01 15:00:00,12.75,12.87,12.65
TMP-ENT010-00017,ENT010,2024-01-01 16:00:00,11.35,11.79,12.03
TMP-ENT010-00018,ENT010,2024-01-01 17:00:00,9.69,10.38,9.32
TMP-ENT010-00019,ENT010,2024-01-01 18:00:00,6.44,6.99,7.23
TMP-ENT010-00020,ENT010,2024-01-01 19:00:00,6.69,6.95,7.22
TMP-ENT010-00021,ENT010,2024-01-01 20:00:00,7.32,7.51,6.91
TMP-ENT010-00022,ENT010,2024-01-01 21:00:00,7.65,7.39,7.86
TMP-ENT010-00023,ENT010,2024-01-01 22:00:00,7.82,7.28,7.12
TMP-ENT010-00024,ENT010,2024-01-01 23:00:00,7.52,7.13,7.41
TMP-ENT010-00025,ENT010,2024-01-02 00:00:00,6.7,6.47,6.62
TMP-ENT010-00026,ENT010,2024-01-02 01:00:00,7.33,6.66,7.32
TMP-ENT010-00027,ENT010,2024-01-02 02:00:00,6.77,6.19,6.48
TMP-ENT010-00028,ENT010,2024-01-02 03:00:00,7.31,6.91,7.2
TMP-ENT010-00029,ENT010,2024-01-02 04:00:00,6.7,6.28,6.44
TMP-ENT010-00030,ENT010,2024-01-02 05:00:00,10.24,10.47,10.64
TMP-ENT010-00031,ENT010,2024-01-02 06:00:00,10.69,11.52,10.92
TMP-ENT010-00032,ENT010,2024-01-02 07:00:00,13.1,13.26,13.17
TMP-ENT010-00033,ENT010,2024-01-02 08:00:00,13.16,13.4,13.06
TMP-ENT010-00034,ENT010,2024-01-02 09:00:00,14.67,14.47,14.74
TMP-ENT010-00035,ENT010,2024-01-02 10:00:00,14.47,14.66,14.3
TMP-ENT010-00036,ENT010,2024-01-02 11:00:00,15.43,14.83,14.88
TMP-ENT010-00037,ENT010,2024-01-02 12:00:00,15.2,15.12,14.82
TMP-ENT010-00038,ENT010,2024-01-02 13:00:00,14.5,14.53,14.52
TMP-ENT010-00039,ENT010,2024-01-02 14:00:00,13.84,14.07,13.74
TMP-ENT010-00040,ENT010,2024-01-02 15:00:00,12.04,12.04,11.77
TMP-ENT010-00041,ENT010,2024-01-02 16:00:00,11.78,11.58,11.57
TMP-ENT010-00042,ENT010,2024-01-02 17:00:00,10.79,10.85,10.09
TMP-ENT010-00043,ENT010,2024-01-02 18:00:00,6.55,6.52,6.39
TMP-ENT010-00044,ENT010,2024-01-02 19:00:00,7.56,7.59,7.99
TMP-ENT010-00045,ENT010,2024-01-02 20:00:00,6.84,7.95,6.73
TMP-ENT010-00046,ENT010,2024-01-02 21:00:00,7.31,6.59,6.76
TMP-ENT010-00047,ENT010,2024-01-02 22:00:00,6.72,6.68,7.34
TMP-ENT010-00048,ENT010,2024-01-02 23:00:00,7.19,6.39,6.69
TMP-ENT010-00049,ENT010,2024-01-03 00:00:00,7.51,6.96,6.95
TMP-ENT010-00050,ENT010,2024-01-03 01:00:00,7.2,7.0,7.41
TMP-ENT010-00051,ENT010,2024-01-03 02:00:00,7.6,7.77,7.12
TMP-ENT010-00052,ENT010,2024-01-03 03:00:00,7.11,7.6,7.21
TMP-ENT010-00053,ENT010,2024-01-03 04:00:00,7.0,7.24,6.71
TMP-ENT010-00054,ENT010,2024-01-03 05:00:00,9.79,10.18,10.15
TMP-ENT010-00055,ENT010,2024-01-03 06:00:00,11.34,11.08,10.91
TMP-ENT010-00056,ENT010,2024-01-03 07:00:00,12.2,12.33,12.51
TMP-ENT010-00057,ENT010,2024-01-03 08:00:00,13.68,13.48,13.58
TMP-ENT010-00058,ENT010,2024-01-03 09:00:00,14.38,14.62,14.32
TMP-ENT010-00059,ENT010,2024-01-03 10:00:00,14.78,14.59,14.5
TMP-ENT010-00060,ENT010,2024-01-03 11:00:00,15.32,14.36,14.37
TMP-ENT010-00061,ENT010,2024-01-03 12:00:00,14.14,13.58,13.91
TMP-ENT010-00062,ENT010,2024-01-03 13:00:00,14.42,14.14,14.13
TMP-ENT010-00063,ENT010,2024-01-03 14:00:00,13.4,13.84,13.67
TMP-ENT010-00064,ENT010,2024-01-03 15:00:00,11.7,11.79,11.95
TMP-ENT010-00065,ENT010,2024-01-03 16:00:00,11.37,11.27,11.11
TMP-ENT010-00066,ENT010,2024-01-03 17:00:00,10.81,10.54,10.4
TMP-ENT010-00067,ENT010,2024-01-03 18:00:00,7.2,8.03,7.72
TMP-ENT010-00068,ENT010,2024-01-03 19:00:00,7.19,6.49,6.55
TMP-ENT010-00069,ENT010,2024-01-03 20:00:00,6.6,6.73,7.0
TMP-ENT010-00070,ENT010,2024-01-03 21:00:00,6.36,6.24,6.83
TMP-ENT010-00071,ENT010,2024-01-03 22:00:00,7.4,6.82,7.63
TMP-ENT010-00072,ENT010,2024-01-03 23:00:00,6.8,6.79,7.3
TMP-ENT010-00073,ENT010,2024-01-04 00:00:00,7.41,7.95,7.81
TMP-ENT010-00074,ENT010,2024-01-04 01:00:00,7.29,6.96,6.99
TMP-ENT010-00075,ENT010,2024-01-04 02:00:00,6.83,7.26,7.07
TMP-ENT010-00076,ENT010,2024-01-04 03:00:00,7.99,7.11,7.86
TMP-ENT010-00077,ENT010,2024-01-04 04:00:00,6.6,7.36,6.75
TMP-ENT010-00078,ENT010,2024-01-04 05:00:00,10.03,9.99,10.13
TMP-ENT010-00079,ENT010,2024-01-04 06:00:00,10.59,11.96,11.9
TMP-ENT010-00080,ENT010,2024-01-04 07:00:00,12.75,13.03,12.96
TMP-ENT010-00081,ENT010,2024-01-04 08:00:00,13.39,13.39,13.85
TMP-ENT010-00082,ENT010,2024-01-04 09:00:00,14.88,15.04,14.93
TMP-ENT010-00083,ENT010,2024-01-04 10:00:00,14.49,15.15,15.24
TMP-ENT010-00084,ENT010,2024-01-04 11:00:00,15.58,15.88,15.37
TMP-ENT010-00085,ENT010,2024-01-04 12:00:00,15.02,14.97,15.55
TMP-ENT010-00086,ENT010,2024-01-04 13:00:00,13.76,13.89,14.01
TMP-ENT010-00087,ENT010,2024-01-04 14:00:00,14.36,14.11,14.42
TMP-ENT010-00088,ENT010,2024-01-04 15:00:00,11.7,12.41,12.07
TMP-ENT010-00089,ENT010,2024-01-04 16:00:00,11.51,11.61,12.06
TMP-ENT010-00090,ENT010,2024-01-04 17:00:00,9.39,9.88,9.21
TMP-ENT010-00091,ENT010,2024-01-04 18:00:00,6.52,7.2,6.62
