client_id,lat,lon,type_requis
C0001,33.176151,-8.480112,sec
C0002,34.626649,-1.982684,standard
C0003,33.036862,-7.592274,standard
C0004,33.884328,-5.477357,sec
C0005,33.764465,-7.327702,sec
C0006,35.738445,-5.8642,climatise
C0007,34.184058,-4.988514,froid
C0008,34.163276,-4.187205,froid
C0009,32.261129,-6.203129,froid
C0010,35.203731,-2.960384,standard
C0011,33.971505,-6.935253,sec
C0012,35.219084,-2.803422,sec
C0013,33.921958,-6.948644,standard
C0014,34.181005,-4.947194,sec
C0015,35.623478,-5.385682,sec
C0016,32.981066,-7.520006,froid
C0017,33.888595,-5.490906,sec
C0018,33.78827,-7.404771,froid
C0019,35.821566,-5.756327,sec
C0020,29.088245,-10.075127,froid
C0021,35.688792,-5.701776,standard
C0022,35.87724,-5.723914,climatise
C0023,34.259593,-3.946162,froid
C0024,33.63719,-7.485522,climatise
C0025,33.575708,-7.685697,sec
C0026,33.17982,-8.435527,standard
C0027,33.182813,-8.525805,froid
C0028,30.475914,-9.423089,standard
C0029,35.146042,-2.829284,sec
C0030,35.52115,-5.293635,climatise
C0031,33.952799,-5.457691,sec
C0032,33.159275,-8.449699,froid
C0033,35.184222,-2.818469,froid
C0034,32.958606,-7.563038,climatise
C0035,34.206649,-3.921051,climatise
C0036,32.464474,-6.3772,sec
C0037,35.575792,-5.296495,standard
C0038,33.875965,-5.422504,climatise
C0039,33.600118,-7.491699,sec
C0040,30.457899,-9.621705,standard
C0041,34.681649,-1.82765,standard
C0042,33.4337,-7.540475,froid
C0043,32.962107,-7.56554,sec
C0044,33.056974,-7.611177,sec
C0045,34.349715,-6.478322,standard
C0046,33.306206,-7.576039,climatise
C0047,33.947847,-5.400092,climatise
C0048,34.074153,-4.815545,standard
C0049,35.573845,-5.332831,climatise
C0050,33.951333,-5.401636,standard
C0051,33.25785,-8.54704,climatise
C0052,35.863362,-5.719646,standard
C0053,32.368565,-6.285487,climatise
C0054,34.241522,-6.561051,standard
C0055,30.465333,-9.418916,standard
C0056,33.878586,-5.93322,standard
C0057,30.496087,-9.540501,standard
C0058,32.903083,-7.634051,standard
C0059,34.000725,-4.906509,climatise
C0060,33.574883,-7.575818,sec
C0061,35.776443,-5.890502,froid
C0062,33.968478,-6.931013,climatise
C0063,30.467567,-9.682748,standard
C0064,34.761071,-1.976567,sec
C0065,34.255098,-6.590449,sec
C0066,33.234728,-7.629264,froid
C0067,31.717424,-7.852478,sec
C0068,33.217302,-7.548163,standard
C0069,30.370782,-9.465316,sec
C0070,29.021653,-9.906274,sec
C0071,32.354635,-9.121383,standard
C0072,33.861493,-5.45223,sec
C0073,34.22858,-4.043628,froid
C0074,34.675367,-1.863576,froid
C0075,34.71335,-1.853399,froid
C0076,30.475087,-9.448427,standard
C0077,33.6506,-7.382141,standard
C0078,33.490191,-7.652352,froid
C0079,35.661937,-5.41128,froid
C0080,34.185499,-4.17831,climatise
C0081,30.421296,-9.604802,climatise
C0082,32.361098,-9.106251,standard
C0083,34.322055,-6.535607,froid
C0084,35.64779,-5.37427,sec
C0085,30.404824,-9.402508,sec
C0086,34.729561,-1.967233,froid
C0087,32.201296,-6.216919,sec
C0088,35.870171,-5.86405,climatise
C0089,34.09784,-6.92362,standard
C0090,35.600966,-5.771286,standard
C0091,35.114804,-2.882354,climatise
C0092,32.239626,-6.224922,froid
C0093,33.700392,-7.453476,standard
C0094,33.943094,-5.579909,sec
C0095,30.326923,-9.478554,sec
C0096,30.46818,-9.623041,froid
C0097,34.648101,-1.954645,standard
C0098,33.204875,-8.585504,climatise
C0099,32.353424,-9.233162,sec
C0100,31.738039,-8.09112,froid
