id,id_entrepot,datetime,capteur1,capteur2,capteur3
TMP-ENT009-00001,ENT009,2024-01-01 00:00:00,7.49,7.48,7.22
TMP-ENT009-00002,ENT009,2024-01-01 01:00:00,7.74,8.52,7.76
TMP-ENT009-00003,ENT009,2024-01-01 02:00:00,9.4,8.48,8.45
TMP-ENT009-00004,ENT009,2024-01-01 03:00:00,7.98,8.47,7.36
TMP-ENT009-00005,ENT009,2024-01-01 04:00:00,8.02,7.48,7.16
TMP-ENT009-00006,ENT009,2024-01-01 05:00:00,12.27,11.76,11.63
TMP-ENT009-00007,ENT009,2024-01-01 06:00:00,11.85,12.28,12.34
TMP-ENT009-00008,ENT009,2024-01-01 07:00:00,13.47,13.49,13.8
TMP-ENT009-00009,ENT009,2024-01-01 08:00:00,14.7,14.42,14.89
TMP-ENT009-00010,ENT009,2024-01-01 09:00:00,15.05,15.39,16.02
TMP-ENT009-00011,ENT009,2024-01-01 10:00:00,16.07,16.02,16.06
TMP-ENT009-00012,ENT009,2024-01-01 11:00:00,15.84,15.42,15.64
TMP-ENT009-00013,ENT009,2024-01-01 12:00:00,16.01,16.01,15.5
TMP-ENT009-00014,ENT009,2024-01-01 13:00:00,15.87,15.54,14.68
TMP-ENT009-00015,ENT009,2024-01-01 14:00:00,14.32,14.24,13.95
TMP-ENT009-00016,ENT009,2024-01-01 15:00:00,13.04,13.28,13.12
TMP-ENT009-00017,ENT009,2024-01-01 16:00:00,11.87,11.67,11.82
TMP-ENT009-00018,ENT009,2024-01-01 17:00:00,11.55,11.79,11.73
TMP-ENT009-00019,ENT009,2024-01-01 18:00:00,8.09,8.19,7.62
TMP-ENT009-00020,ENT009,2024-01-01 19:00:00,7.5,8.11,7.69
TMP-ENT009-00021,ENT009,2024-01-01 20:00:00,8.5,8.53,7.93
TMP-ENT009-00022,ENT009,2024-01-01 21:00:00,8.38,7.67,7.61
TMP-ENT009-00023,ENT009,2024-01-01 22:00:00,7.87,7.52,7.56
TMP-ENT009-00024,ENT009,2024-01-01 23:00:00,8.48,8.18,8.19
TMP-ENT009-00025,ENT009,2024-01-02 00:00:00,7.49,8.11,8.09
TMP-ENT009-00026,ENT009,2024-01-02 01:00:00,8.35,8.65,8.74
TMP-ENT009-00027,ENT009,2024-01-02 02:00:00,9.08,8.46,8.71
TMP-ENT009-00028,ENT009,2024-01-02 03:00:00,7.31,7.23,7.7
TMP-ENT009-00029,ENT009,2024-01-02 04:00:00,8.52,8.78,9.15
TMP-ENT009-00030,ENT009,2024-01-02 05:00:00,10.14,10.83,10.81
TMP-ENT009-00031,ENT009,2024-01-02 06:00:00,12.45,12.48,12.27
TMP-ENT009-00032,ENT009,2024-01-02 07:00:00,13.97,13.7,13.45
TMP-ENT009-00033,ENT009,2024-01-02 08:00:00,15.28,14.95,15.45
TMP-ENT009-00034,ENT009,2024-01-02 09:00:00,17.08,17.02,17.08
TMP-ENT009-00035,ENT009,2024-01-02 10:00:00,15.33,15.74,15.62
TMP-ENT009-00036,ENT009,2024-01-02 11:00:00,15.48,16.07,15.52
TMP-ENT009-00037,ENT009,2024-01-02 12:00:00,14.99,15.6,15.6
TMP-ENT009-00038,ENT009,2024-01-02 13:00:00,14.95,14.94,14.7
TMP-ENT009-00039,ENT009,2024-01-02 14:00:00,13.7,13.63,13.79
TMP-ENT009-00040,ENT009,2024-01-02 15:00:00,13.77,13.49,13.84
TMP-ENT009-00041,ENT009,2024-01-02 16:00:00,12.52,12.15,12.06
TMP-ENT009-00042,ENT009,2024-01-02 17:00:00,11.09,10.85,10.76
TMP-ENT009-00043,ENT009,2024-01-02 18:00:00,7.31,8.05,7.9
TMP-ENT009-00044,ENT009,2024-01-02 19:00:00,8.04,7.55,8.13
TMP-ENT009-00045,ENT009,2024-01-02 20:00:00,8.4,8.16,8.57
TMP-ENT009-00046,ENT009,2024-01-02 21:00:00,7.8,8.05,8.05
TMP-ENT009-00047,ENT009,2024-01-02 22:00:00,8.88,7.57,7.91
TMP-ENT009-00048,ENT009,2024-01-02 23:00:00,7.68,8.33,7.73
TMP-ENT009-00049,ENT009,2024-01-03 00:00:00,8.11,8.35,7.88
TMP-ENT009-00050,ENT009,2024-01-03 01:00:00,7.59,8.06,7.79
TMP-ENT009-00051,ENT009,2024-01-03 02:00:00,8.23,8.28,7.99
TMP-ENT009-00052,ENT009,2024-01-03 03:00:00,7.35,8.11,7.19
TMP-ENT009-00053,ENT009,2024-01-03 04:00:00,8.47,8.41,8.29
TMP-ENT009-00054,ENT009,2024-01-03 05:00:00,10.39,10.69,10.81
TMP-ENT009-00055,ENT009,2024-01-03 06:00:00,12.11,12.56,12.12
TMP-ENT009-00056,ENT009,2024-01-03 07:00:00,13.85,13.74,13.67
TMP-ENT009-00057,ENT009,2024-01-03 08:00:00,15.17,15.14,14.15
TMP-ENT009-00058,ENT009,2024-01-03 09:00:00,15.24,15.55,15.16
TMP-ENT009-00059,ENT009,2024-01-03 10:00:00,17.02,15.92,15.98
TMP-ENT009-00060,ENT009,2024-01-03 11:00:00,16.43,16.62,15.54
TMP-ENT009-00061,ENT009,2024-01-03 12:00:00,16.3,16.21,16.24
TMP-ENT009-00062,ENT009,2024-01-03 13:00:00,15.11,14.71,15.07
TMP-ENT009-00063,ENT009,2024-01-03 14:00:00,14.62,14.51,14.12
TMP-ENT009-00064,ENT009,2024-01-03 15:00:00,13.82,13.39,13.2
TMP-ENT009-00065,ENT009,2024-01-03 16:00:00,13.11,12.9,12.62
TMP-ENT009-00066,ENT009,2024-01-03 17:00:00,11.11,10.81,10.75
TMP-ENT009-00067,ENT009,2024-01-03 18:00:00,8.03,7.71,8.54
TMP-ENT009-00068,ENT009,2024-01-03 19:00:00,8.09,8.34,8.4
TMP-ENT009-00069,ENT009,2024-01-03 20:00:00,9.07,8.5,8.34
TMP-ENT009-00070,ENT009,2024-01-03 21:00:00,7.63,7.44,7.57
TMP-ENT009-00071,ENT009,2024-01-03 22:00:00,8.57,8.19,8.66
TMP-ENT009-00072,ENT009,2024-01-03 23:00:00,7.92,7.79,7.33
TMP-ENT009-00073,ENT009,2024-01-04 00:00:00,7.85,7.75,7.73
TMP-ENT009-00074,ENT009,2024-01-04 01:00:00,8.75,8.57,9.0
TMP-ENT009-00075,ENT009,2024-01-04 02:00:00,9.04,9.17,8.85
TMP-ENT009-00076,ENT009,2024-01-04 03:00:00,8.6,8.47,8.11
TMP-ENT009-00077,ENT009,2024-01-04 04:00:00,8.19,8.13,8.06
TMP-ENT009-00078,ENT009,2024-01-04 05:00:00,11.79,11.79,11.47
TMP-ENT009-00079,ENT009,2024-01-04 06:00:00,12.12,11.99,12.18
TMP-ENT009-00080,ENT009,2024-01-04 07:00:00,13.01,13.66,13.42
TMP-ENT009-00081,ENT009,2024-01-04 08:00:00,14.26,14.0,14.49
TMP-ENT009-00082,ENT009,2024-01-04 09:00:00,14.93,15.23,14.64
TMP-ENT009-00083,ENT009,2024-01-04 10:00:00,16.4,16.37,16.02
TMP-ENT009-00084,ENT009,2024-01-04 11:00:00,17.23,17.38,16.69
TMP-ENT009-00085,ENT009,2024-01-04 12:00:00,15.82,15.11,15.83
TMP-ENT009-00086,ENT009,2024-01-04 13:00:00,15.07,14.73,15.6
TMP-ENT009-00087,ENT009,2024-01-04 14:00:00,14.34,14.9,14.57
TMP-ENT009-00088,ENT009,2024-01-04 15:00:00,14.03,13.98,13.7
TMP-ENT009-00089,ENT009,2024-01-04 16:00:00,11.99,11.73,12.11
TMP-ENT009-00090,ENT009,2024-01-04 17:00:00,10.86,11.29,10.95
TMP-ENT009-00091,ENT009,2024-01-04 18:00:00,8.28,8.45,8.44
TMP-ENT009-00092,ENT009,2024-01-04 19:00:00,7.3,7.8,8.23
TMP-ENT009-00093,ENT009,2024-01-04 20:00:00,8.56,8.35,7.88
TMP-ENT009-00094,ENT009,2024-01-04 21:00:00,8.83,8.84,8.44
TMP-ENT009-00095,ENT009,2024-01-04 22:00:00,8.82,8.95,8.4
TMP-ENT009-00096,ENT009,2024-01-04 23:00:00,8.71,8.13,8.05
TMP-ENT009-00097,ENT009,2024-01-05 00:00:00,7.94,8.42,8.26
TMP-ENT009-00098,ENT009,2024-01-05 01:00:00,8.76,8.76,8.84
TMP-ENT009-00099,ENT009,2024-01-05 02:00:00,8.12,8.04,7.42
TMP-ENT009-00100,ENT009,2024-01-05 03:00:00,8.2,8.14,8.58
TMP-ENT009-00101,ENT009,2024-01-05 04:00:00,8.38,8.61,8.29
TMP-ENT009-00102,ENT009,2024-01-05 05:00:00,10.79,11.09,10.97
TMP-ENT009-00103,ENT009,2024-01-05 06:00:00,12.25,11.88,12.32
TMP-ENT009-00104,ENT009,2024-01-05 07:00:00,13.61,12.87,12.95
TMP-ENT009-00105,ENT009,2024-01-05 08:00:00,14.8,15.02,14.97
TMP-ENT009-00106,ENT009,2024-01-05 09:00:00,14.71,14.48,14.83
TMP-ENT009-00107,ENT009,2024-01-05 10:00:00,15.73,15.35,15.85
TMP-ENT009-00108,ENT009,2024-01-05 11:00:00,16.04,15.44,15.63
TMP-ENT009-00109,ENT009,2024-01-05 12:00:00,15.71,15.71,16.0
TMP-ENT009-00110,ENT009,2024-01-05 13:00:00,16.04,15.83,15.32
TMP-ENT009-00111,ENT009,2024-01-05 14:00:00,14.82,14.29,14.79
TMP-ENT009-00112,ENT009,2024-01-05 15:00:00,13.89,13.53,13.7
TMP-ENT009-00113,ENT009,2024-01-05 16:00:00,12.12,12.5,12.25
TMP-ENT009-00114,ENT009,2024-01-05 17:00:00,10.82,11.03,11.49
TMP-ENT009-00115,ENT009,2024-01-05 18:00:00,6.8,7.27,7.62
TMP-ENT009-00116,ENT009,2024-01-05 19:00:00,9.17,9.73,9.08
TMP-ENT009-00117,ENT009,2024-01-05 20:00:00,9.03,8.24,8.67
TMP-ENT009-00118,ENT009,2024-01-05 21:00:00,7.99,7.46,8.1
TMP-ENT009-00119,ENT009,2024-01-05 22:00:00,7.59,7.66,7.86
TMP-ENT009-00120,ENT009,2024-01-05 23:00:00,6.71,7.85,7.93
TMP-ENT009-00121,ENT009,2024-01-06 00:00:00,8.67,9.31,8.81
TMP-ENT009-00122,ENT009,2024-01-06 01:00:00,8.52,8.73,8.85
TMP-ENT009-00123,ENT009,2024-01-06 02:00:00,7.95,7.65,7.36
TMP-ENT009-00124,ENT009,2024-01-06 03:00:00,7.99,8.58,8.52
TMP-ENT009-00125,ENT009,2024-01-06 04:00:00,7.85,7.44,7.89
TMP-ENT009-00126,ENT009,2024-01-06 05:00:00,10.79,10.89,10.08
TMP-ENT009-00127,ENT009,2024-01-06 06:00:00,12.99,13.54,13.52
TMP-ENT009-00128,ENT009,2024-01-06 07:00:00,14.35,14.41,14.93
TMP-ENT009-00129,ENT009,2024-01-06 08:00:00,14.35,14.64,14.14
TMP-ENT009-00130,ENT009,2024-01-06 09:00:00,15.72,16.02,16.39
TMP-ENT009-00131,ENT009,2024-01-06 10:00:00,14.98,15.37,15.5
TMP-ENT009-00132,ENT009,2024-01-06 11:00:00,15.81,15.83,16.0
TMP-ENT009-00133,ENT009,2024-01-06 12:00:00,16.04,15.8,15.92
TMP-ENT009-00134,ENT009,2024-01-06 13:00:00,15.24,15.18,15.69
TMP-ENT009-00135,ENT009,2024-01-06 14:00:00,15.12,14.93,15.2
TMP-ENT009-00136,ENT009,2024-01-06 15:00:00,13.95,13.91,13.87
TMP-ENT009-00137,ENT009,2024-01-06 16:00:00,12.33,12.33,12.5
TMP-ENT009-00138,ENT009,2024-01-06 17:00:00,11.09,11.11,11.02
TMP-ENT009-00139,ENT009,2024-01-06 18:00:00,9.09,8.54,8.48
TMP-ENT009-00140,ENT009,2024-01-06 19:00:00,8.85,9.28,9.33
TMP-ENT009-00141,ENT009,2024-01-06 20:00:00,8.36,8.49,8.59
TMP-ENT009-00142,ENT009,2024-01-06 21:00:00,8.59,7.34,7.88
TMP-ENT009-00143,ENT009,2024-01-06 22:00:00,8.06,8.47,9.23
TMP-ENT009-00144,ENT009,2024-01-06 23:00:00,8.13,8.52,7.96
TMP-ENT009-00145,ENT009,2024-01-07 00:00:00,7.45,6.95,7.37
TMP-ENT009-00146,ENT009,2024-01-07 01:00:00,7.88,8.2,8.93
TMP-ENT009-00147,ENT009,2024-01-07 02:00:00,8.24,7.62,8.55
TMP-ENT009-00148,ENT009,2024-01-07 03:00:00,8.82,8.26,8.7
TMP-ENT009-00149,ENT009,2024-01-07 04:00:00,8.62,8.5,8.81
TMP-ENT009-00150,ENT009,2024-01-07 05:00:00,11.61,11.83,11.56
TMP-ENT009-00151,ENT009,2024-01-07 06:00:00,12.25,12.41,12.32
TMP-ENT009-00152,ENT009,2024-01-07 07:00:00,13.96,14.37,13.64
TMP-ENT009-00153,ENT009,2024-01-07 08:00:00,14.68,14.6,14.73
TMP-ENT009-00154,ENT009,2024-01-07 09:00:00,14.85,14.7,15.0
TMP-ENT009-00155,ENT009,2024-01-07 10:00:00,16.45,16.19,15.95
TMP-ENT009-00156,ENT009,2024-01-07 11:00:00,16.23,16.45,16.32
TMP-ENT009-00157,ENT009,2024-01-07 12:00:00,15.9,15.54,16.46
TMP-ENT009-00158,ENT009,2024-01-07 13:00:00,15.8,16.28,15.27
TMP-ENT009-00159,ENT009,2024-01-07 14:00:00,14.63,14.65,14.35
TMP-ENT009-00160,ENT009,2024-01-07 15:00:00,13.24,14.03,13.26
TMP-ENT009-00161,ENT009,2024-01-07 16:00:00,11.99,12.06,11.71
TMP-ENT009-00162,ENT009,2024-01-07 17:00:00,11.47,11.37,11.01
TMP-ENT009-00163,ENT009,2024-01-07 18:00:00,8.38,8.13,8.62
TMP-ENT009-00164,ENT009,2024-01-07 19:00:00,7.66,7.99,7.42
TMP-ENT009-00165,ENT009,2024-01-07 20:00:00,8.01,8.09,8.35
TMP-ENT009-00166,ENT009,2024-01-07 21:00:00,8.35,8.75,8.65
TMP-ENT009-00167,ENT009,2024-01-07 22:00:00,8.62,8.73,8.86
TMP-ENT009-00168,ENT009,2024-01-07 23:00:00,8.32,8.15,8.22
TMP-ENT009-00169,ENT009,2024-01-08 00:00:00,7.99,8.46,7.67
TMP-ENT009-00170,ENT009,2024-01-08 01:00:00,8.46,8.43,7.89
TMP-ENT009-00171,ENT009,2024-01-08 02:00:00,8.26,7.64,8.17
TMP-ENT009-00172,ENT009,2024-01-08 03:00:00,8.83,8.59,9.18
TMP-ENT009-00173,ENT009,2024-01-08 04:00:00,8.02,8.28,8.31
TMP-ENT009-00174,ENT009,2024-01-08 05:00:00,10.63,10.72,10.86
TMP-ENT009-00175,ENT009,2024-01-08 06:00:00,12.01,12.69,12.31
TMP-ENT009-00176,ENT009,2024-01-08 07:00:00,13.53,14.06,13.91
TMP-ENT009-00177,ENT009,2024-01-08 08:00:00,13.95,14.1,14.26
TMP-ENT009-00178,ENT009,2024-01-08 09:00:00,14.99,15.32,15.77
