timestamp,capteur_id,temperature,humidite
2025-01-01 00:00:00,SN-TDI-2026-001,12.32,55.69
2025-01-01 01:00:00,SN-TDI-2026-001,9.93,67.63
2025-01-01 02:00:00,SN-TDI-2026-001,8.9,73.64
2025-01-01 03:00:00,SN-TDI-2026-001,9.21,66.35
2025-01-01 04:00:00,SN-TDI-2026-001,8.85,71.97
2025-01-01 05:00:00,SN-TDI-2026-001,7.37,61.41
2025-01-01 06:00:00,SN-TDI-2026-001,8.99,70.29
2025-01-01 07:00:00,SN-TDI-2026-001,12.15,72.37
2025-01-01 08:00:00,SN-TDI-2026-001,9.09,67.34
2025-01-01 09:00:00,SN-TDI-2026-001,9.69,69.92
2025-01-01 10:00:00,SN-TDI-2026-001,10.85,62.3
2025-01-01 11:00:00,SN-TDI-2026-001,8.67,62.56
2025-01-01 12:00:00,SN-TDI-2026-001,9.96,65.9
2025-01-01 13:00:00,SN-TDI-2026-001,12.72,69.1
2025-01-01 14:00:00,SN-TDI-2026-001,6.81,69.66
2025-01-01 15:00:00,SN-TDI-2026-001,12.3,61.15
2025-01-01 16:00:00,SN-TDI-2026-001,11.06,65.42
2025-01-01 17:00:00,SN-TDI-2026-001,8.13,66.34
2025-01-01 18:00:00,SN-TDI-2026-001,9.87,66.68
2025-01-01 19:00:00,SN-TDI-2026-001,12.32,61.44
2025-01-01 20:00:00,SN-TDI-2026-001,9.29,65.05
2025-01-01 21:00:00,SN-TDI-2026-001,12.14,64.59
2025-01-01 22:00:00,SN-TDI-2026-001,7.95,56.65
2025-01-01 23:00:00,SN-TDI-2026-001,11.25,68.72
2025-01-02 00:00:00,SN-TDI-2026-001,12.44,68.19
2025-01-02 01:00:00,SN-TDI-2026-001,14.55,63.96
2025-01-02 02:00:00,SN-TDI-2026-001,8.09,59.89
2025-01-02 03:00:00,SN-TDI-2026-001,8.59,59.82
2025-01-02 04:00:00,SN-TDI-2026-001,8.08,70.77
2025-01-02 05:00:00,SN-TDI-2026-001,6.39,64.42
2025-01-02 06:00:00,SN-TDI-2026-001,10.74,67.81
2025-01-02 07:00:00,SN-TDI-2026-001,9.3,65.31
2025-01-02 08:00:00,SN-TDI-2026-001,8.42,65.17
2025-01-02 09:00:00,SN-TDI-2026-001,8.15,60.09
2025-01-02 10:00:00,SN-TDI-2026-001,9.06,68.36
2025-01-02 11:00:00,SN-TDI-2026-001,8.8,66.07
2025-01-02 12:00:00,SN-TDI-2026-001,10.38,67.8
2025-01-02 13:00:00,SN-TDI-2026-001,9.71,64.93
2025-01-02 14:00:00,SN-TDI-2026-001,10.94,67.35
2025-01-02 15:00:00,SN-TDI-2026-001,13.42,64.19
2025-01-02 16:00:00,SN-TDI-2026-001,10.94,63.11
2025-01-02 17:00:00,SN-TDI-2026-001,7.86,62.4
2025-01-02 18:00:00,SN-TDI-2026-001,10.29,67.77
2025-01-02 19:00:00,SN-TDI-2026-001,10.43,66.46
2025-01-02 20:00:00,SN-TDI-2026-001,9.16,60.59
2025-01-02 21:00:00,SN-TDI-2026-001,10.2,65.22
2025-01-02 22:00:00,SN-TDI-2026-001,10.47,66.51
2025-01-02 23:00:00,SN-TDI-2026-001,10.78,66.28
2025-01-03 00:00:00,SN-TDI-2026-001,9.7,65.66
2025-01-03 01:00:00,SN-TDI-2026-001,8.2,59.33
2025-01-03 02:00:00,SN-TDI-2026-001,9.77,64.47
2025-01-03 03:00:00,SN-TDI-2026-001,12.64,75.89
2025-01-03 04:00:00,SN-TDI-2026-001,9.22,66.6
2025-01-03 05:00:00,SN-TDI-2026-001,10.73,67.29
2025-01-03 06:00:00,SN-TDI-2026-001,11.04,66.48
2025-01-03 07:00:00,SN-TDI-2026-001,12.83,62.53
2025-01-03 08:00:00,SN-TDI-2026-001,11.24,68.32
2025-01-03 09:00:00,SN-TDI-2026-001,11.52,62.32
2025-01-03 10:00:00,SN-TDI-2026-001,14.99,69.18
2025-01-03 11:00:00,SN-TDI-2026-001,10.51,64.16
2025-01-03 12:00:00,SN-TDI-2026-001,7.35,60.43
2025-01-03 13:00:00,SN-TDI-2026-001,9.0,66.26
2025-01-03 14:00:00,SN-TDI-2026-001,9.13,67.4
2025-01-03 15:00:00,SN-TDI-2026-001,10.31,66.23
2025-01-03 16:00:00,SN-TDI-2026-001,8.9,65.53
2025-01-03 17:00:00,SN-TDI-2026-001,10.72,65.12
2025-01-03 18:00:00,SN-TDI-2026-001,10.62,67.37
2025-01-03 19:00:00,SN-TDI-2026-001,9.47,66.26
2025-01-03 20:00:00,SN-TDI-2026-001,8.64,67.3
2025-01-03 21:00:00,SN-TDI-2026-001,7.6,64.12
2025-01-03 22:00:00,SN-TDI-2026-001,8.71,64.0
2025-01-03 23:00:00,SN-TDI-2026-001,8.8,63.54
2025-01-04 00:00:00,SN-TDI-2026-001,8.37,63.9
2025-01-04 01:00:00,SN-TDI-2026-001,9.09,63.8
2025-01-04 02:00:00,SN-TDI-2026-001,11.65,62.83
2025-01-04 03:00:00,SN-TDI-2026-001,8.47,63.88
2025-01-04 04:00:00,SN-TDI-2026-001,10.07,64.1
2025-01-04 05:00:00,SN-TDI-2026-001,11.09,66.98
2025-01-04 06:00:00,SN-TDI-2026-001,13.56,65.2
2025-01-04 07:00:00,SN-TDI-2026-001,9.83,60.64
2025-01-04 08:00:00,SN-TDI-2026-001,9.47,66.48
2025-01-04 09:00:00,SN-TDI-2026-001,9.26,61.02
2025-01-04 10:00:00,SN-TDI-2026-001,10.17,66.63
2025-01-04 11:00:00,SN-TDI-2026-001,8.29,69.69
2025-01-04 12:00:00,SN-TDI-2026-001,10.63,65.69
2025-01-04 13:00:00,SN-TDI-2026-001,12.5,63.38
