client_id,lat,lon,type_requis
C0501,35.740019,-5.747504,climatise
C0502,33.006414,-7.535511,standard
C0503,32.309308,-6.372363,froid
C0504,35.738363,-5.793983,froid
C0505,34.702164,-1.953185,climatise
C0506,34.294353,-3.984157,sec
C0507,35.546614,-5.274732,standard
C0508,35.281998,-2.992912,climatise
C0509,34.622612,-1.848999,sec
C0510,33.257452,-8.410242,standard
C0511,32.406413,-6.336074,climatise
C0512,34.012087,-6.858702,sec
C0513,30.32326,-9.52166,sec
C0514,34.389209,-6.609178,climatise
C0515,33.996731,-6.919813,standard
C0516,35.795774,-5.769522,sec
C0517,33.735914,-5.962633,standard
C0518,34.166569,-5.004797,froid
C0519,35.671055,-5.84111,climatise
C0520,33.395171,-7.576109,standard
C0521,33.998818,-6.94062,froid
C0522,33.249732,-7.533877,froid
C0523,31.6358,-8.039472,standard
C0524,33.918952,-5.157869,standard
C0525,29.067335,-9.992045,climatise
C0526,34.254875,-3.948416,climatise
C0527,33.209643,-8.465061,standard
C0528,35.162456,-2.991961,froid
C0529,33.256867,-7.618684,froid
C0530,35.225193,-2.831928,sec
C0531,33.94262,-5.491279,froid
C0532,34.739264,-1.893665,climatise
C0533,33.669271,-7.476688,sec
C0534,33.44353,-7.672927,climatise
C0535,34.141319,-4.966748,climatise
C0536,33.371757,-7.6285,sec
C0537,35.233503,-2.991605,standard
C0538,35.537137,-5.478452,sec
C0539,30.472102,-9.693939,froid
C0540,33.215842,-7.620449,froid
C0541,34.730751,-1.824967,froid
C0542,34.110165,-5.045872,climatise
C0543,33.870932,-5.560062,climatise
C0544,33.772109,-7.336163,climatise
C0545,30.458001,-9.571069,sec
C0546,32.366835,-6.262439,froid
C0547,33.975309,-5.439179,froid
C0548,32.26226,-9.134429,froid
C0549,34.622871,-1.908078,froid
C0550,32.25136,-6.471398,sec
C0551,33.815814,-6.194803,froid
C0552,33.919468,-5.053457,froid
C0553,33.231378,-8.477531,standard
C0554,30.352287,-9.693805,froid
C0555,33.726591,-7.377739,froid
C0556,35.28173,-2.819963,standard
C0557,34.663143,-1.865703,sec
C0558,35.13563,-2.905027,froid
C0559,34.051398,-6.752533,climatise
C0560,33.744322,-6.179744,standard
C0561,29.071442,-9.972972,sec
C0562,35.524458,-5.202487,sec
C0563,35.238726,-2.865483,standard
C0564,33.666721,-7.677515,sec
C0565,34.332939,-6.462861,froid
C0566,35.624908,-5.456876,sec
C0567,33.018277,-7.611338,sec
C0568,35.140061,-2.95279,froid
C0569,33.752817,-5.955521,froid
C0570,34.331461,-6.485156,standard
C0571,32.96508,-7.66813,standard
C0572,34.035489,-5.005611,sec
C0573,34.129849,-5.023586,standard
C0574,34.142819,-4.002023,standard
C0575,35.667464,-5.773518,sec
C0576,34.68731,-1.892368,froid
C0577,34.022712,-6.942185,froid
C0578,33.951516,-4.827322,standard
C0579,33.678598,-7.538948,climatise
C0580,31.659348,-7.9456,standard
C0581,34.077745,-4.9308,froid
C0582,33.726747,-7.306951,standard
C0583,32.368991,-9.154568,climatise
C0584,35.513425,-5.379833,sec
C0585,35.865956,-5.753297,climatise
C0586,33.912586,-4.856143,standard
C0587,33.670461,-7.681259,standard
C0588,30.488427,-9.505933,climatise
C0589,34.288262,-3.902695,froid
C0590,33.674406,-7.606813,sec
C0591,34.754029,-1.840492,climatise
C0592,32.230344,-9.29591,climatise
C0593,33.98479,-5.439516,standard
C0594,30.395387,-9.544269,sec
C0595,33.936797,-5.49789,climatise
C0596,33.821441,-6.056289,climatise
C0597,32.900605,-7.604214,sec
C0598,35.179488,-2.991172,froid
C0599,34.04261,-6.785352,sec
C0600,33.160141,-8.49661,froid
