client_id,lat,lon,type_requis
C0901,34.017026,-6.755404,climatise
C0902,29.041672,-10.052768,froid
C0903,35.193081,-2.958276,standard
C0904,33.384115,-7.635521,standard
C0905,35.881052,-5.884983,climatise
C0906,35.664756,-5.417678,standard
C0907,30.315902,-9.584273,standard
C0908,32.93299,-7.512257,standard
C0909,30.370655,-9.467932,sec
C0910,35.770847,-5.759277,standard
C0911,34.36966,-6.541011,climatise
C0912,34.128923,-5.197721,climatise
C0913,33.86117,-5.990568,sec
C0914,32.308434,-9.261112,climatise
C0915,31.622873,-7.906516,froid
C0916,32.273531,-9.222908,froid
C0917,33.38395,-7.55255,froid
C0918,32.386616,-9.242118,climatise
C0919,33.944231,-5.50681,standard
C0920,32.28693,-9.139671,climatise
C0921,29.008005,-9.953815,froid
C0922,34.225673,-6.517178,climatise
C0923,35.836519,-5.86948,standard
C0924,33.292608,-8.402915,sec
C0925,32.234772,-6.396586,standard
C0926,28.913825,-10.041752,climatise
C0927,33.704272,-7.324216,sec
C0928,34.086817,-6.753295,climatise
C0929,34.206288,-6.449353,climatise
C0930,33.447384,-7.685637,froid
C0931,34.359319,-6.416085,standard
C0932,33.759544,-7.308382,sec
C0933,34.125012,-4.065079,climatise
C0934,30.316926,-9.623196,standard
C0935,33.799798,-7.306363,sec
C0936,30.317939,-9.650272,climatise
C0937,30.387595,-9.616241,climatise
C0938,30.328593,-9.566849,sec
C0939,32.397205,-9.209914,climatise
C0940,34.029963,-6.90634,froid
C0941,33.988009,-5.517221,sec
C0942,33.431531,-7.415768,sec
C0943,33.891747,-5.995689,sec
C0944,35.634358,-5.44597,standard
C0945,28.954964,-10.094158,standard
C0946,35.299881,-2.857632,sec
C0947,33.982806,-5.470429,froid
C0948,31.775474,-8.072436,standard
C0949,34.220769,-6.570182,standard
C0950,33.104587,-8.547409,froid
C0951,32.265386,-9.271425,sec
C0952,34.2176,-6.404823,froid
C0953,28.903175,-10.082494,climatise
C0954,34.664488,-1.931523,froid
C0955,30.447903,-9.644955,standard
C0956,31.686683,-7.964534,sec
C0957,33.257143,-7.617626,climatise
C0958,32.368164,-9.125761,sec
C0959,30.304078,-9.643822,froid
C0960,34.381348,-6.671561,froid
C0961,35.51038,-5.308188,climatise
C0962,35.751949,-5.796787,froid
C0963,29.087191,-9.988429,sec
C0964,33.611505,-7.465943,froid
C0965,33.026158,-7.572374,climatise
C0966,28.996149,-9.991892,standard
C0967,32.326264,-9.151148,standard
C0968,33.750173,-7.485525,climatise
C0969,32.238599,-9.111738,sec
C0970,33.73162,-7.395839,sec
C0971,35.797272,-5.896717,climatise
C0972,33.737334,-7.49888,standard
C0973,33.221505,-7.5969,standard
C0974,33.648226,-7.466955,climatise
C0975,35.18222,-2.962197,climatise
C0976,34.272045,-6.411757,sec
C0977,28.962209,-9.919496,sec
C0978,34.266595,-4.059145,sec
C0979,31.562058,-8.028288,standard
C0980,33.687897,-7.481198,froid
C0981,33.944148,-6.930194,froid
C0982,35.507317,-5.44424,sec
C0983,33.129967,-8.526776,froid
C0984,28.970899,-10.084878,froid
C0985,32.215166,-9.22767,standard
C0986,30.355249,-9.403735,sec
C0987,33.788819,-7.480075,sec
C0988,33.798333,-6.080504,standard
C0989,33.766035,-7.359473,standard
C0990,33.672707,-7.636005,froid
C0991,35.162755,-2.93451,sec
C0992,33.295576,-7.651158,standard
C0993,34.001999,-5.068537,sec
C0994,35.506049,-5.293352,sec
C0995,32.293908,-6.395746,sec
C0996,32.291923,-9.245969,sec
C0997,34.174555,-3.907702,standard
C0998,30.482585,-9.69379,froid
C0999,34.799374,-1.936125,climatise
C1000,33.313934,-7.586908,sec
