client_id,lat,lon,type_requis
C0101,32.218646,-6.443113,froid
C0102,35.537023,-5.229932,climatise
C0103,33.573176,-7.6114,climatise
C0104,31.547789,-7.983229,climatise
C0105,32.952076,-7.609521,froid
C0106,33.64632,-7.378347,standard
C0107,33.507651,-7.604607,standard
C0108,34.707663,-1.844041,froid
C0109,33.452783,-7.633364,climatise
C0110,34.093503,-5.026378,standard
C0111,34.107563,-4.810936,climatise
C0112,34.18475,-3.937176,climatise
C0113,32.342415,-9.13832,climatise
C0114,32.948695,-7.513936,sec
C0115,34.265213,-6.669259,climatise
C0116,29.024973,-10.057471,standard
C0117,32.903371,-7.551259,froid
C0118,33.12439,-8.59646,standard
C0119,35.185164,-2.814104,climatise
C0120,33.099274,-7.579005,froid
C0121,35.579675,-5.437476,climatise
C0122,35.24854,-2.932302,froid
C0123,33.414266,-7.674916,sec
C0124,32.257712,-6.235042,froid
C0125,33.436409,-7.603873,sec
C0126,31.503816,-7.971085,climatise
C0127,30.467581,-9.454314,climatise
C0128,30.441133,-9.668595,sec
C0129,32.315846,-6.471114,climatise
C0130,32.960778,-7.530225,sec
C0131,34.345522,-6.689462,froid
C0132,34.294693,-6.661471,climatise
C0133,28.99687,-9.930792,climatise
C0134,35.150457,-2.949408,sec
C0135,35.156646,-2.961935,sec
C0136,32.945991,-7.628988,froid
C0137,34.711157,-1.843729,froid
C0138,32.344984,-9.153275,froid
C0139,33.526628,-7.572273,froid
C0140,33.901438,-4.852255,froid
C0141,34.659744,-1.977094,climatise
C0142,35.534647,-5.333509,sec
C0143,34.084925,-5.070545,sec
C0144,35.580904,-5.348819,standard
C0145,34.295904,-6.515037,sec
C0146,33.626144,-7.359387,sec
C0147,33.962193,-5.474387,standard
C0148,34.292106,-4.018879,sec
C0149,33.068989,-7.59322,froid
C0150,33.581767,-7.596788,sec
C0151,32.213738,-6.33982,climatise
C0152,33.634598,-7.434219,froid
C0153,33.259117,-7.566409,climatise
C0154,32.259599,-6.452728,sec
C0155,34.042454,-5.028506,standard
C0156,33.718423,-7.333451,standard
C0157,34.221018,-6.638866,climatise
C0158,35.618934,-5.763793,froid
C0159,33.678088,-7.381314,froid
C0160,29.032824,-10.042138,climatise
C0161,32.468544,-6.459534,sec
C0162,35.694015,-5.301553,froid
C0163,33.30157,-7.647548,sec
C0164,32.357089,-6.461499,climatise
C0165,32.422794,-6.472259,climatise
C0166,33.668874,-7.631458,froid
C0167,34.275943,-4.127499,froid
C0168,35.73612,-5.741602,climatise
C0169,33.391391,-7.506973,climatise
C0170,33.395432,-7.687074,sec
C0171,33.535311,-7.507032,standard
C0172,34.227099,-4.199063,froid
C0173,28.944034,-9.902944,standard
C0174,30.47763,-9.408907,standard
C0175,35.666866,-5.493748,froid
C0176,35.511307,-5.490226,sec
C0177,33.778691,-6.088576,standard
C0178,35.68527,-5.830276,sec
C0179,34.057495,-6.827193,climatise
C0180,33.368276,-7.566737,climatise
C0181,30.402488,-9.556417,froid
C0182,33.241418,-8.455926,climatise
C0183,28.960664,-10.099978,sec
C0184,33.610708,-7.630463,froid
C0185,30.405713,-9.633284,climatise
C0186,32.278684,-9.21978,climatise
C0187,33.756519,-7.49879,standard
C0188,35.155525,-2.832127,climatise
C0189,30.365547,-9.657678,froid
C0190,32.979788,-7.566379,sec
C0191,35.142399,-2.976457,standard
C0192,32.35463,-9.193606,climatise
C0193,33.940808,-5.582101,sec
C0194,33.131341,-8.551105,standard
C0195,34.668226,-1.96309,froid
C0196,34.089157,-5.048097,climatise
C0197,35.167847,-2.998616,sec
C0198,33.398499,-7.614269,standard
C0199,32.255402,-9.107838,sec
C0200,34.213742,-3.99267,sec
