id,id_entrepot,id_proprietaire,datetime,capteur1,capteur2,capteur3
HUM-ENT001-00001,ENT001,OWN001,2024-01-01 00:00:00,84.63,84.78,84.7
HUM-ENT001-00002,ENT001,OWN001,2024-01-01 01:00:00,85.64,84.06,83.92
HUM-ENT001-00003,ENT001,OWN001,2024-01-01 02:00:00,85.03,84.37,84.81
HUM-ENT001-00004,ENT001,OWN001,2024-01-01 03:00:00,83.64,83.57,84.44
HUM-ENT001-00005,ENT001,OWN001,2024-01-01 04:00:00,83.66,83.9,84.31
HUM-ENT001-00006,ENT001,OWN001,2024-01-01 05:00:00,83.38,83.77,83.16
HUM-ENT001-00007,ENT001,OWN001,2024-01-01 06:00:00,80.71,81.67,81.41
HUM-ENT001-00008,ENT001,OWN001,2024-01-01 07:00:00,78.64,78.32,78.02
HUM-ENT001-00009,ENT001,OWN001,2024-01-01 08:00:00,78.28,78.2,77.65
HUM-ENT001-00010,ENT001,OWN001,2024-01-01 09:00:00,75.78,74.88,74.92
HUM-ENT001-00011,ENT001,OWN001,2024-01-01 10:00:00,71.97,73.11,72.11
HUM-ENT001-00012,ENT001,OWN001,2024-01-01 11:00:00,68.72,70.06,69.86
HUM-ENT001-00013,ENT001,OWN001,2024-01-01 12:00:00,69.44,69.24,70.35
HUM-ENT001-00014,ENT001,OWN001,2024-01-01 13:00:00,69.7,70.01,69.27
HUM-ENT001-00015,ENT001,OWN001,2024-01-01 14:00:00,69.88,69.35,69.66
HUM-ENT001-00016,ENT001,OWN001,2024-01-01 15:00:00,68.4,68.61,69.29
HUM-ENT001-00017,ENT001,OWN001,2024-01-01 16:00:00,70.05,70.01,69.6
HUM-ENT001-00018,ENT001,OWN001,2024-01-01 17:00:00,70.19,71.16,70.91
HUM-ENT001-00019,ENT001,OWN001,2024-01-01 18:00:00,85.77,84.9,85.45
HUM-ENT001-00020,ENT001,OWN001,2024-01-01 19:00:00,85.9,86.9,85.95
HUM-ENT001-00021,ENT001,OWN001,2024-01-01 20:00:00,83.29,83.12,83.36
HUM-ENT001-00022,ENT001,OWN001,2024-01-01 21:00:00,86.95,88.38,86.37
HUM-ENT001-00023,ENT001,OWN001,2024-01-01 22:00:00,84.85,84.18,84.76
HUM-ENT001-00024,ENT001,OWN001,2024-01-01 23:00:00,85.33,84.55,84.42
HUM-ENT001-00025,ENT001,OWN001,2024-01-02 00:00:00,84.44,84.1,84.29
HUM-ENT001-00026,ENT001,OWN001,2024-01-02 01:00:00,86.29,85.57,86.03
HUM-ENT001-00027,ENT001,OWN001,2024-01-02 02:00:00,84.58,86.01,84.32
HUM-ENT001-00028,ENT001,OWN001,2024-01-02 03:00:00,83.77,84.27,84.68
HUM-ENT001-00029,ENT001,OWN001,2024-01-02 04:00:00,83.35,83.57,83.02
HUM-ENT001-00030,ENT001,OWN001,2024-01-02 05:00:00,82.76,82.26,83.03
HUM-ENT001-00031,ENT001,OWN001,2024-01-02 06:00:00,80.98,81.02,80.72
HUM-ENT001-00032,ENT001,OWN001,2024-01-02 07:00:00,79.45,79.72,79.12
HUM-ENT001-00033,ENT001,OWN001,2024-01-02 08:00:00,76.72,77.41,76.51
HUM-ENT001-00034,ENT001,OWN001,2024-01-02 09:00:00,73.94,75.17,74.69
HUM-ENT001-00035,ENT001,OWN001,2024-01-02 10:00:00,73.41,73.67,73.97
HUM-ENT001-00036,ENT001,OWN001,2024-01-02 11:00:00,69.01,68.31,69.88
HUM-ENT001-00037,ENT001,OWN001,2024-01-02 12:00:00,67.97,68.89,67.49
HUM-ENT001-00038,ENT001,OWN001,2024-01-02 13:00:00,69.39,70.05,69.78
