client_id,lat,lon,type_requis
C0601,34.245588,-6.458867,sec
C0602,30.370479,-9.446582,standard
C0603,33.206742,-8.473701,climatise
C0604,33.649465,-7.339736,climatise
C0605,35.504188,-5.208052,standard
C0606,33.17526,-8.53338,sec
C0607,34.131603,-5.046006,climatise
C0608,34.048808,-6.82107,climatise
C0609,32.286353,-9.241606,climatise
C0610,33.790578,-6.131051,climatise
C0611,31.505668,-7.840667,sec
C0612,34.017305,-6.877385,standard
C0613,32.313047,-6.416491,sec
C0614,33.08103,-7.604463,sec
C0615,33.583991,-7.466784,standard
C0616,35.653575,-5.798434,sec
C0617,33.353769,-7.585647,climatise
C0618,32.372669,-6.23982,froid
C0619,32.313555,-9.116381,sec
C0620,35.274438,-2.915574,sec
C0621,32.284845,-9.281663,froid
C0622,31.688731,-7.971601,sec
C0623,29.050154,-9.954927,climatise
C0624,31.714431,-7.998335,froid
C0625,30.438859,-9.651374,standard
C0626,33.223536,-8.414888,sec
C0627,33.281757,-7.545372,froid
C0628,33.903289,-5.496306,standard
C0629,34.798263,-1.884079,froid
C0630,35.193603,-2.911956,sec
C0631,33.749225,-7.49088,sec
C0632,35.216728,-2.952043,climatise
C0633,34.238344,-4.014726,climatise
C0634,33.834376,-5.568613,froid
C0635,34.791467,-1.931609,standard
C0636,33.730178,-5.94213,froid
C0637,34.084459,-5.146531,climatise
C0638,32.327106,-9.272828,climatise
C0639,33.754507,-6.171604,climatise
C0640,33.681949,-7.498507,sec
C0641,35.239964,-2.83609,froid
C0642,35.501747,-5.359679,froid
C0643,34.343402,-6.61098,standard
C0644,32.204231,-9.132082,standard
C0645,30.454508,-9.468207,froid
C0646,33.965801,-5.541822,climatise
C0647,33.817168,-5.427369,froid
C0648,34.226461,-6.513311,climatise
C0649,30.470527,-9.493714,standard
C0650,32.278068,-6.331538,sec
C0651,28.970789,-9.907383,sec
C0652,33.843261,-6.084755,climatise
C0653,32.278226,-9.134502,sec
C0654,34.137667,-4.968768,climatise
C0655,33.717515,-6.182482,sec
C0656,33.708409,-6.148293,climatise
C0657,34.039381,-6.876887,standard
C0658,33.506907,-7.441597,standard
C0659,35.205425,-2.926402,standard
C0660,35.793951,-5.811131,froid
C0661,28.910164,-9.940003,standard
C0662,35.128323,-2.858008,climatise
C0663,33.914099,-6.78872,sec
C0664,34.013915,-6.849481,climatise
C0665,35.171942,-2.853055,climatise
C0666,33.782129,-6.121696,standard
C0667,34.706427,-1.874377,sec
C0668,32.999049,-7.530774,sec
C0669,35.186508,-2.930403,climatise
C0670,33.957109,-5.540482,standard
C0671,34.769838,-1.892969,froid
C0672,33.882057,-5.592495,sec
C0673,34.686543,-1.896309,standard
C0674,35.263177,-2.819909,climatise
C0675,34.104275,-3.922556,froid
C0676,35.248829,-2.827135,froid
C0677,35.757647,-5.833808,froid
C0678,32.313735,-9.250603,sec
C0679,33.178907,-8.557187,climatise
C0680,35.617627,-5.840253,sec
C0681,31.534809,-7.963702,climatise
C0682,33.800271,-6.119452,froid
C0683,32.401411,-6.34661,froid
C0684,31.519176,-8.026123,climatise
C0685,33.201752,-8.552149,climatise
C0686,34.042858,-5.017671,froid
C0687,31.671276,-8.017419,sec
C0688,34.266626,-6.676169,froid
C0689,32.264461,-9.290068,froid
C0690,34.194108,-4.078403,climatise
C0691,33.85695,-6.166591,climatise
C0692,33.280763,-7.630075,froid
C0693,31.633567,-7.917749,sec
C0694,30.389665,-9.650072,climatise
C0695,33.224873,-7.597324,froid
C0696,34.286437,-6.575154,standard
C0697,33.724225,-7.397212,standard
C0698,30.491077,-9.408677,standard
C0699,30.398536,-9.426819,sec
C0700,28.92796,-10.001286,climatise
